"hero","mini1","mini2","mini3","mini4","mini5","classes","sum","deck_cost","is_available","score"
"natureborn","barbarian","spear goblin","wizard","dart golbin","飞斧屠夫","clan2,goblin2,mage2,ranger2,specialist2",10,19,FALSE,13.8
"natureborn","barbarian","dagger goblin","wizard","dart golbin","飞斧屠夫","clan2,goblin2,mage2,ranger2,specialist2",10,19,FALSE,13.8
"natureborn","barbarian","skeleton guard","wizard","villager","witch","clan4,mage2,specialist2,undead2",10,17,TRUE,13.4
"natureborn","barbarian","dagger thrower","archer","wizard","villager","clan4,mage2,ranger2,specialist2",10,16,TRUE,12.8
"natureborn","barbarian","dagger thrower","wizard","healing ranger","战斗拳手","clan2,mage2,ranger2,saint2,specialist2",10,19,FALSE,13.8
"natureborn","barbarian","dagger thrower","wizard","幻术大师","magic archer","clan2,mage2,ranger2,rogue2,specialist2",10,17,FALSE,13.6
"natureborn","barbarian","miner","wizard","magic archer","飞斧屠夫","clan2,mage2,ranger2,rogue2,specialist2",10,20,FALSE,14
"natureborn","barbarian","mini PEKKA","wizard","musketeer","公主","clan2,mage2,ranger2,royal2,specialist2",10,20,FALSE,13.600000000000001
"natureborn","barbarian","mini PEKKA","wizard","prince","dark prince","clan2,mage2,rider2,royal2,specialist2",10,20,FALSE,13.6
"natureborn","barbarian","archer","battle healer","wizard","healing ranger","clan4,mage2,ranger2,saint2",10,18,TRUE,14.3
"grand warden","barbarian","archer","battle healer","wizard","healing ranger","clan4,mage2,ranger2,saint2",10,18,TRUE,12.8
"natureborn","barbarian","archer","battle healer","wizard","战斗拳手","clan4,mage2,saint2,specialist2",10,20,FALSE,14.7
"natureborn","barbarian","archer","battle healer","wizard","飞斧屠夫","clan4,mage2,ranger2,specialist2",10,20,FALSE,14.7
"natureborn","barbarian","archer","battle healer","villager","healing ranger","clan4,ranger2,saint2,specialist2",10,18,TRUE,14.3
"monk","barbarian","archer","battle healer","villager","healing ranger","clan4,ranger2,saint2,specialist2",10,18,TRUE,12.8
"战争机器","barbarian","archer","battle healer","villager","healing ranger","clan4,ranger2,saint2,specialist2",10,18,FALSE,12.9
"archer queen","barbarian","archer","battle healer","villager","战斗拳手","clan4,ranger2,saint2,specialist2",10,20,FALSE,12.9
"sheld maiden","barbarian","archer","battle healer","villager","飞斧屠夫","clan4,ranger2,saint2,specialist2",10,20,FALSE,13
"skeleton king","barbarian","archer","battle healer","healing ranger","witch","clan4,ranger2,saint2,undead2",10,18,TRUE,13.1
"barbarian king","barbarian","archer","battle healer","战斗拳手","飞斧屠夫","clan4,ranger2,saint2,specialist2",10,22,FALSE,13.4
"natureborn","barbarian","archer","wizard","musketeer","villager","clan4,mage2,ranger2,specialist2",10,17,TRUE,14.3
"natureborn","barbarian","archer","wizard","villager","dart golbin","clan4,mage2,ranger2,specialist2",10,17,TRUE,14.5
"natureborn","barbarian","archer","wizard","villager","healing ranger","clan4,mage2,ranger2,specialist2",10,17,TRUE,14.5
"natureborn","barbarian","archer","wizard","villager","magic archer","clan4,mage2,ranger2,specialist2",10,18,TRUE,14.7
